URUT,R101,R102,R105,FOOD,NONFOOD,EXPEND,KAPITA,KALORI_KAP,PROTE_KAP,LEMAK_KAP,KARBO_KAP,R1802,R1810A,R2001B,R2001C,R2001D,R2001F,R2001G,R2001H,R2001K,R2001M,Banyak_Anak
517818,32,76,1,3164485.714285714,3260500,6424985.714285714,1284997.142857142,1756.879599999999,43.1341,37.10225714285714,289.7928285714285,1,2,1,5,5,5,5,1,5,1,1
517819,32,76,1,10149857.14285714,28154916.66666667,38304773.80952382,6384128.968,2428.029863945578,75.48254421768704,46.55336054421767,326.9110952380953,1,1,1,1,5,1,1,1,1,1,2
517820,32,76,1,2612142.857142856,6860083.333333332,9472226.190476188,4736113.095238094,2211.351122,66.37883163265306,45.66348979591838,312.0064642857142,3,2,1,5,5,5,5,1,5,1,0
517833,32,76,1,2321571.428571429,1678166.666666666,3999738.095238095,999934.5238,1936.255689,65.12630102040816,54.47110459183674,262.3381428571428,1,4,1,5,5,5,5,1,5,1,2
517847,32,76,1,2416714.285714285,1900833.333333333,4317547.619047619,1079386.904761904,1891.76438,66.07517602040816,46.90991326530613,241.4623035714285,1,4,1,5,5,5,5,1,5,5,0
517850,32,76,1,2364428.571428571,1699583.333333333,4064011.904761904,812802.381,1637.210346938775,47.26321224489796,38.40173061224489,237.5992999999999,1,2,1,5,5,5,5,1,5,1,1
517851,32,76,1,3946071.428571428,3853083.333333333,7799154.761904762,1949788.69,2677.010382653061,82.61714285714287,73.01484948979589,318.9363035714285,3,2,1,5,5,1,1,1,5,5,2
517870,32,76,1,2269285.714285714,2233249.999999999,4502535.714285714,1500845.238095238,1969.70432,59.53336394557825,54.03913605442178,236.8234523809523,1,4,1,5,5,5,5,1,5,1,1
517871,32,76,1,3037285.714285714,3213416.666666666,6250702.381,1562675.595238095,1852.377882653061,53.03552295918366,47.09599489795918,266.595625,3,4,1,5,5,5,5,1,5,5,2
517895,32,76,1,2232857.142857142,1961749.999999999,4194607.142857142,4194607.142857142,1890.444,57.17642857142856,44.88428571428571,301.542,3,1,5,5,5,5,5,1,5,1,0
517928,32,76,1,4554428.571428571,9075166.666666668,13629595.23809524,6814797.619047621,2534.741607142857,85.58996428571432,58.53771428571428,303.6926785714286,1,1,1,5,5,1,1,1,1,1,1
517933,32,76,1,2510571.428571428,3716166.666666666,6226738.095238095,6226738.095238095,4345.439285714285,128.4210714285714,93.86578571428572,526.8892143,1,2,1,1,5,5,5,5,5,1,0
517953,32,76,1,3263142.857142856,4193250,7456392.857142856,7456392.857142856,3325.34,107.8587857142857,98.17621428571428,469.7478571428572,1,1,1,5,5,1,5,1,5,1,0
517966,32,76,1,2994857.142857143,3949583.333333333,6944440.476190476,1388888.095238095,1219.576448979591,46.76513265306122,33.26016734693876,136.7931857142856,2,4,1,5,5,5,5,5,5,5,2
517973,32,76,1,2734285.714285714,1311750,4046035.714285714,1011508.928571428,2316.912423469387,68.63857142857142,53.73330867346938,307.6793571428571,1,4,1,5,5,5,5,1,5,5,2
518020,32,76,1,1658571.428571428,1894333.333333333,3552904.761904762,1776452.380952381,2098.398367346938,64.74519388,47.74069387755103,313.2669285714285,1,4,5,5,5,5,5,5,5,1,0
518021,32,76,1,2913428.571428572,4026500,6939928.571428572,1387985.714285714,1709.536306122449,53.18480408163267,38.86391020408162,239.7769999999999,2,3,5,5,5,5,5,1,5,5,3
518022,32,76,1,2574857.142857142,2672383.333333333,5247240.476190475,874540.0793650792,1475.554455782312,41.34331836734695,35.22219863945579,213.3893999999999,3,2,1,5,5,5,5,1,5,5,3
518025,32,76,1,5781428.571428567,6905166.666666663,12686595.23809523,4228865.079365077,2969.519965986395,99.63188775510204,63.05532313,337.8413095238094,1,1,1,1,5,5,1,1,5,1,1
518033,32,76,1,4780714.285714285,11454250,16234964.28571428,8117482.142857142,2849.856112244897,99.09962142857144,75.76915918367347,389.1807785714287,1,1,1,1,5,1,5,1,1,1,0
518035,32,76,1,2655428.571428571,1809000,4464428.571428571,4464428.571428571,1697.964285714285,50.09571428571429,39.59428571428571,265.2314285714285,2,2,5,5,5,1,5,1,5,5,0
518051,32,76,1,2955857.142857142,2764166.666666665,5720023.809523807,1906674.603174602,2024.437670068027,90.67421428571429,62.16785374149659,258.4160476190475,2,1,1,5,5,5,5,1,5,5,1
